Modelo;SKU;Estado Comercial;Equipo con Portabilidad;% Descuento;Bancos Asociados 24 cuotas sin interes de:;Equipo en Renovacion;% Descuento;Bancos Asociados 24 cuotas sin interes de:;Equipo con Nuevo Numero;% Descuento;Todos los bancos 12 cuotas sin interes de:;Prepago Exclusivo wom.cl;% Descuento;Todos los bancos 12 cuotas sin interes de:;Precio Normal
Samsung Galaxy Z Flip7 FE 5G 128GB Black;001.002.2846;En Oferta;$544.800;-50%;$22.700;$544.800;-50%;$22.700;$544.800;-50%;$45.400;$664.800;-40%;$55.400;$1.099.990
Honor Magic 7 Pro 5G 512GB Gray;001.002.2747;End of Life;$878.400;-37%;$36.600;$878.400;-37%;$36.600;$878.400;-37%;$73.200;$950.400;-32%;$79.200;$1.399.990
Xiaomi 15 Ultra 5G 512GB Black;001.002.2774;En Oferta;$1.099.200;-21%;$45.800;$1.099.200;-21%;$45.800;$1.099.200;-21%;$91.600;$1.123.200;-20%;$93.600;$1.399.990
Xiaomi 15 Ultra 5G 512GB Silver Chrome;001.002.2775;En Oferta;$1.099.200;-21%;$45.800;$1.099.200;-21%;$45.800;$1.099.200;-21%;$91.600;$1.123.200;-20%;$93.600;$1.399.990
Apple iPhone 17 Pro 5G 256GB Silver;001.002.2860;En Oferta;$1.380.000;-3%;$57.500;$1.380.000;-3%;$57.500;$1.380.000;-3%;$115.000;$1.500.000;5%;$125.000;$1.429.990
Apple iPhone 17 Pro 5G 256GB Cosmic Orange;001.002.2861;En Oferta;$1.380.000;-3%;$57.500;$1.380.000;-3%;$57.500;$1.380.000;-3%;$115.000;$1.500.000;5%;$125.000;$1.429.990
Apple iPhone 17 Pro 5G 256GB Deep Blue;001.002.2862;En Oferta;$1.380.000;-3%;$57.500;$1.380.000;-3%;$57.500;$1.380.000;-3%;$115.000;$1.500.000;5%;$125.000;$1.429.990
Apple iPhone 17 Pro Max 5G 256GB Silver;001.002.2869;En Oferta;$1.492.800;-4%;$62.200;$1.492.800;-4%;$62.200;$1.492.800;-4%;$124.400;$1.612.800;4%;$134.400;$1.549.990
Apple iPhone 17 Pro Max 5G 256GB Orange;001.002.2870;En Oferta;$1.492.800;-4%;$62.200;$1.492.800;-4%;$62.200;$1.492.800;-4%;$124.400;$1.612.800;4%;$134.400;$1.549.990
Apple iPhone 17 Pro Max 5G 256GB Deep Blue;001.002.2871;En Oferta;$1.492.800;-4%;$62.200;$1.492.800;-4%;$62.200;$1.492.800;-4%;$124.400;$1.612.800;4%;$134.400;$1.549.990
Apple iPhone 17 Pro 5G 512GB Silver;001.002.2863;En Oferta;$1.380.000;-18%;$57.500;$1.380.000;-18%;$57.500;$1.380.000;-18%;$115.000;$1.500.000;-11%;$125.000;$1.689.990
Apple iPhone 17 Pro 5G 512GB Cosmic Orange;001.002.2864;En Oferta;$1.380.000;-18%;$57.500;$1.380.000;-18%;$57.500;$1.380.000;-18%;$115.000;$1.500.000;-11%;$125.000;$1.689.990
Apple iPhone 17 Pro 5G 512GB Deep Blue;001.002.2865;En Oferta;$1.380.000;-18%;$57.500;$1.380.000;-18%;$57.500;$1.380.000;-18%;$115.000;$1.500.000;-11%;$125.000;$1.689.990
Samsung Galaxy S25 Ultra 5G 512GB Black;001.002.2799;En Oferta;$1.200.000;-29%;$50.000;$1.200.000;-29%;$50.000;$1.200.000;-29%;$100.000;$1.320.000;-22%;$110.000;$1.699.990
Samsung Galaxy S25 Ultra 5G 512GB Gray;001.002.2800;En Oferta;$1.200.000;-29%;$50.000;$1.200.000;-29%;$50.000;$1.200.000;-29%;$100.000;$1.320.000;-22%;$110.000;$1.699.990
Apple iPhone 17 Pro Max 5G 512GB Silver;001.002.2872;En Oferta;$1.744.800;-4%;$72.700;$1.744.800;-4%;$72.700;$1.744.800;-4%;$145.400;$1.864.800;3%;$155.400;$1.809.990
Apple iPhone 17 Pro Max 5G 512GB Orange;001.002.2873;En Oferta;$1.744.800;-4%;$72.700;$1.744.800;-4%;$72.700;$1.744.800;-4%;$145.400;$1.864.800;3%;$155.400;$1.809.990
Apple iPhone 17 Pro Max 5G 512GB Deep Blue;001.002.2874;En Oferta;$1.744.800;-4%;$72.700;$1.744.800;-4%;$72.700;$1.744.800;-4%;$145.400;$1.864.800;3%;$155.400;$1.809.990
Apple iPhone 17 Pro Max 5G 1TB Silver;001.002.2875;En Oferta;$1.994.400;-4%;$83.100;$1.994.400;-4%;$83.100;$1.994.400;-4%;$166.200;$2.018.400;-2%;$168.200;$2.069.990
Apple iPhone 17 Pro Max 5G 1TB Orange;001.002.2876;En Oferta;$1.994.400;-4%;$83.100;$1.994.400;-4%;$83.100;$1.994.400;-4%;$166.200;$2.018.400;-2%;$168.200;$2.069.990
Apple iPhone 17 Pro Max 5G 1TB Deep Blue;001.002.2877;En Oferta;$1.994.400;-4%;$83.100;$1.994.400;-4%;$83.100;$1.994.400;-4%;$166.200;$2.018.400;-2%;$168.200;$2.069.990
Samsung Galaxy Z Flip7 5G 256GB Jetblack;001.002.2847;En Oferta;$760.800;-46%;$31.700;$760.800;-46%;$31.700;$760.800;-46%;$63.400;$880.800;-37%;$73.400;$1.399.990
Apple iPhone 17e 5G 256GB Black;001.002.2942;En Oferta;$686.400;-2%;$28.600;$686.400;-2%;$28.600;$686.400;-2%;$57.200;$806.400;15%;$67.200;$699.990
Apple iPhone 17e 5G 256GB White;001.002.2943;En Oferta;$686.400;-2%;$28.600;$686.400;-2%;$28.600;$686.400;-2%;$57.200;$806.400;15%;$67.200;$699.990
Apple iPhone 17e 5G 256GB Soft Pink;001.002.2944;En Oferta;$686.400;-2%;$28.600;$686.400;-2%;$28.600;$686.400;-2%;$57.200;$806.400;15%;$67.200;$699.990
Tecno Pova 6 5G 256GB White;001.002.2939;En Oferta;$124.800;-50%;$5.200;$124.800;-50%;$5.200;$124.800;-50%;$10.400;$136.800;-45%;$11.400;$249.990
Honor X6d 5G 256GB Black;001.002.2940;En Oferta;$158.400;-31%;$6.600;$158.400;-31%;$6.600;$158.400;-31%;$13.200;$182.400;-21%;$15.200;$229.990
Honor X6d 5G 256GB Cyan;001.002.2941;En Oferta;$158.400;-31%;$6.600;$158.400;-31%;$6.600;$158.400;-31%;$13.200;$182.400;-21%;$15.200;$229.990
Redmi 15 5G 256GB Gray S/C;001.002.2937;En Oferta;$177.600;-37%;$7.400;$177.600;-37%;$7.400;$177.600;-37%;$14.800;$201.600;-28%;$16.800;$279.990
Redmi 15 5G 256GB Black S/C;001.002.2938;En Oferta;$177.600;-37%;$7.400;$177.600;-37%;$7.400;$177.600;-37%;$14.800;$201.600;-28%;$16.800;$279.990
Xiaomi 17 Ultra 5G 512GB Black;001.002.2933;En Oferta;$1.320.000;-17%;$55.000;$1.320.000;-17%;$55.000;$1.320.000;-17%;$110.000;$1.440.000;-10%;$120.000;$1.599.990
Xiaomi 17 Ultra 5G 512GB Green;001.002.2934;En Oferta;$1.320.000;-17%;$55.000;$1.320.000;-17%;$55.000;$1.320.000;-17%;$110.000;$1.440.000;-10%;$120.000;$1.599.990
Xiaomi 17 5G 512GB Black;001.002.2935;En Oferta;$948.000;-21%;$39.500;$948.000;-21%;$39.500;$948.000;-21%;$79.000;$1.068.000;-11%;$89.000;$1.199.990
Xiaomi 17 5G 512GB Green;001.002.2936;En Oferta;$948.000;-21%;$39.500;$948.000;-21%;$39.500;$948.000;-21%;$79.000;$1.068.000;-11%;$89.000;$1.199.990
Infinix Note 50s 5G 256GB Red;001.002.2950;En Oferta;$268.800;-19%;$11.200;$268.800;-19%;$11.200;$268.800;-19%;$22.400;$304.800;-8%;$25.400;$329.990
Infinix Note 50s 5G 256GB Grey;001.002.2951;En Oferta;$268.800;-19%;$11.200;$268.800;-19%;$11.200;$268.800;-19%;$22.400;$304.800;-8%;$25.400;$329.990
Samsung Galaxy A07 4G 128GB Black;001.002.2952;En Oferta;$98.400;-32%;$4.100;$98.400;-32%;$4.100;$98.400;-32%;$8.200;$110.400;-24%;$9.200;$144.990
Samsung Galaxy A07 5G 128GB Black;001.002.2953;En Oferta;$153.600;-27%;$6.400;$153.600;-27%;$6.400;$153.600;-27%;$12.800;$177.600;-15%;$14.800;$209.990
Samsung Galaxy A37 5G 128GB Dark Green;001.002.2954;En Oferta;$355.200;-29%;$14.800;$355.200;-29%;$14.800;$355.200;-29%;$29.600;$475.200;-5%;$39.600;$499.990
Samsung Galaxy A37 5G 256GB Dark Green;001.002.2955;En Oferta;$429.600;-25%;$17.900;$429.600;-25%;$17.900;$429.600;-25%;$35.800;$549.600;-4%;$45.800;$569.990
Samsung Galaxy A57 5G 128GB Gray;001.002.2956;En Oferta;$432.000;-28%;$18.000;$432.000;-28%;$18.000;$432.000;-28%;$36.000;$552.000;-8%;$46.000;$599.990
Samsung Galaxy S26 Ultra 5G 256GB Black;001.002.2957;En Oferta;$1.173.600;-24%;$48.900;$1.173.600;-24%;$48.900;$1.173.600;-24%;$97.800;$1.293.600;-17%;$107.800;$1.549.990
Samsung Galaxy S26 5G 256GB Sky Blue;001.002.2958;En Oferta;$796.800;-28%;$33.200;$796.800;-28%;$33.200;$796.800;-28%;$66.400;$916.800;-17%;$76.400;$1.109.990
Samsung Galaxy A57 5G 256GB Gray;001.002.2959;En Oferta;$477.600;-28%;$19.900;$477.600;-28%;$19.900;$477.600;-28%;$39.800;$597.600;-9%;$49.800;$659.990
Samsung Galaxy S26 5G 512GB Violet;001.002.2960;En Oferta;$1.058.400;-20%;$44.100;$1.058.400;-20%;$44.100;$1.058.400;-20%;$88.200;$1.178.400;-11%;$98.200;$1.329.990
Samsung Galaxy S26 Ultra 5G 512GB Black;001.002.2961;En Oferta;$1.396.800;-22%;$58.200;$1.396.800;-22%;$58.200;$1.396.800;-22%;$116.400;$1.516.800;-16%;$126.400;$1.799.990
Samsung Galaxy S26 Plus 5G 256GB Violet;001.002.2962;En Oferta;$1.046.400;-22%;$43.600;$1.046.400;-22%;$43.600;$1.046.400;-22%;$87.200;$1.166.400;-14%;$97.200;$1.349.990
Samsung Galaxy S25 FE 5G 128GB Jet Black;001.002.2964;En Oferta;$528.000;-34%;$22.000;$528.000;-34%;$22.000;$528.000;-34%;$44.000;$648.000;-19%;$54.000;$799.990
Samsung Galaxy S25 FE 5G 256GB Jet Black;001.002.2965;En Oferta;$616.800;-26%;$25.700;$616.800;-26%;$25.700;$616.800;-26%;$51.400;$736.800;-11%;$61.400;$829.990
Motorola Edge 70 Fusion 5G 256GB Gris;001.002.2966;En Oferta;$444.000;-11%;$18.500;$444.000;-11%;$18.500;$444.000;-11%;$37.000;$564.000;13%;$47.000;$499.990
Motorola Edge 70 Fusion 5G 256GB Celeste;001.002.2967;En Oferta;$444.000;-11%;$18.500;$444.000;-11%;$18.500;$444.000;-11%;$37.000;$564.000;13%;$47.000;$499.990
Motorola Edge 70 5G 512GB Gris;001.002.2968;En Oferta;$648.000;-19%;$27.000;$648.000;-19%;$27.000;$648.000;-19%;$54.000;$768.000;-4%;$64.000;$799.990
Motorola Signature 5G 1TB Gris;001.002.2969;En Oferta;$1.044.000;-25%;$43.500;$1.044.000;-25%;$43.500;$1.044.000;-25%;$87.000;$1.164.000;-17%;$97.000;$1.399.990
Motorola Edge 60 Pro 5G 512GB Madera;001.002.2970;En Oferta;$357.600;-55%;$14.900;$357.600;-55%;$14.900;$357.600;-55%;$29.800;$477.600;-40%;$39.800;$799.990
Samsung Galaxy S26 Ultra 5G 256GB Violet;001.002.2973;En Oferta;$1.173.600;-24%;$48.900;$1.173.600;-24%;$48.900;$1.173.600;-24%;$97.800;$1.293.600;-17%;$107.800;$1.549.990
Samsung Galaxy S25 FE 5G 256GB Dark Blue;001.002.2849;En Oferta;$616.800;-26%;$25.700;$616.800;-26%;$25.700;$616.800;-26%;$51.400;$736.800;-11%;$61.400;$829.990
Samsung Galaxy Z Fold 7 5G 256GB Blue;001.002.2963;Lanzamiento;$1.497.600;-32%;$62.400;$1.497.600;-32%;$62.400;$1.497.600;-32%;$124.800;$1.617.600;-26%;$134.800;$2.199.990
ZTE Nubia Neo 5 5G 256GB Black;001.002.2971;Lanzamiento;$266.400;-24%;$11.100;$266.400;-24%;$11.100;$266.400;-24%;$22.200;$302.400;-14%;$25.200;$349.990
ZTE Nubia Neo 5 5G 256GB Gold;001.002.2972;Lanzamiento;$266.400;-24%;$11.100;$266.400;-24%;$11.100;$266.400;-24%;$22.200;$302.400;-14%;$25.200;$349.990
ZTE Blade A76 5G 128GB Black;001.002.2974;Lanzamiento;$127.200;-20%;$5.300;$127.200;-20%;$5.300;$127.200;-20%;$10.600;$139.200;-13%;$11.600;$159.990
